a1,a2,a3
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Anecdote
Assumption,Assumption,Anecdote
Assumption,Assumption,Anecdote
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Anecdote,Anecdote,Anecdote
Assumption,Anecdote,Anecdote
Assumption,Assumption,Assumption
Assumption,Statistics/Study,None
Assumption,Statistics/Study,Assumption
Assumption,Assumption,None
Assumption,Statistics/Study,Anecdote
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,None,None
Assumption,None,None
Assumption,None,None
Assumption,None,None
Assumption,None,None
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Definition,Definition,None
Definition,Definition,None
None,None,None
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
None,None,None
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
None,None,None
Assumption,Assumption,Assumption
None,None,None
Assumption,Anecdote,Assumption
Assumption,Anecdote,Assumption
Assumption,Assumption,Anecdote
Assumption,Assumption,Assumption
Assumption,Anecdote,Anecdote
Testimony,Anecdote,Anecdote
Testimony,Assumption,Anecdote
Assumption,Assumption,Assumption
Testimony,Anecdote,Anecdote
Testimony,Assumption,Assumption
Testimony,Assumption,Assumption
Testimony,Assumption,Assumption
Testimony,Assumption,Assumption
None,None,None
None,None,None
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Anecdote
Assumption,Anecdote,Anecdote
Assumption,Assumption,Anecdote
Assumption,Anecdote,None
Assumption,None,Assumption
Assumption,None,None
Testimony,Anecdote,Testimony
Assumption,Assumption,Assumption
Assumption,Assumption,Anecdote
Assumption,Assumption,Anecdote
Assumption,Statistics/Study,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,None
Assumption,Assumption,Assumption
Testimony,Anecdote,Assumption
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Assumption
Assumption,Assumption,Anecdote
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
