a1,a2,a3
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Anecdote
Anecdote,Anecdote,Continue
Anecdote,Continue,Continue
Assumption,Assumption,Assumption
Assumption,Assumption,Continue
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Continue
Assumption,Continue,Continue
Assumption,Continue,Continue
Assumption,Assumption,Assumption
Assumption,Continue,Continue
Assumption,Continue,Continue
Anecdote,Anecdote,Anecdote
Assumption,Continue,Continue
Assumption,Assumption,Assumption
Assumption,Statistics/Study,None
Continue,Continue,Assumption
Assumption,Assumption,None
Assumption,Statistics/Study,Anecdote
Anecdote,Anecdote,Continue
Assumption,Common ground,Assumption
Assumption,Common ground,Continue
Assumption,Other,None
Continue,Continue,None
Assumption,Continue,None
Continue,Continue,None
Assumption,Other,None
Assumption,Assumption,Assumption
Continue,Continue,Continue
Definition,Definition,None
Continue,Continue,None
None,None,None
Assumption,Assumption,Assumption
Assumption,Continue,Continue
None,None,None
Assumption,Assumption,Assumption
Assumption,Assumption,Continue
Assumption,Assumption,Continue
None,None,None
Common ground,Assumption,Assumption
None,None,None
Assumption,Anecdote,Assumption
Assumption,Anecdote,Assumption
Assumption,Assumption,Anecdote
Assumption,Assumption,Assumption
Assumption,Anecdote,Anecdote
Testimony,Continue,Continue
Continue,Assumption,Continue
Assumption,Assumption,Assumption
Testimony,Anecdote,Anecdote
Continue,Assumption,Assumption
Continue,Assumption,Continue
Continue,Assumption,Continue
Continue,Assumption,Continue
None,None,None
None,None,None
Assumption,Assumption,Assumption
Assumption,Assumption,Continue
Anecdote,Anecdote,Anecdote
Continue,Continue,Continue
Assumption,Continue,Continue
Assumption,Assumption,Continue
Assumption,Anecdote,None
Continue,None,Assumption
Assumption,None,None
Testimony,Anecdote,Testimony
Assumption,Assumption,Assumption
Assumption,Assumption,Anecdote
Assumption,Assumption,Anecdote
Assumption,Statistics/Study,Assumption
Continue,Assumption,Continue
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
Assumption,Continue,Common ground
Assumption,Common ground,Assumption
Assumption,Assumption,Assumption
Assumption,Continue,None
Assumption,Assumption,Assumption
Testimony,Anecdote,Continue
Anecdote,Anecdote,Anecdote
Continue,Continue,Continue
Assumption,Assumption,Assumption
Assumption,Assumption,Anecdote
Assumption,Assumption,Assumption
Continue,Continue,Continue
Assumption,Assumption,Assumption
Anecdote,Anecdote,Anecdote
Assumption,Assumption,Assumption
Assumption,Continue,Continue
Continue,Continue,Continue
Assumption,Continue,Continue
Assumption,None,None
Assumption,None,None
Anecdote,Anecdote,Anecdote
None,Continue,None
Anecdote,Anecdote,Anecdote
